"processexplorer.exe","Aspen Process Explorer","Infoplus.21","Infoplus.21","The Aspen Process Explorer is a charting tool for data stored in the Infoplus.21 historian. It is currently only used with the HBI CIM 3/4."
"roeladm01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roeltc01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roelyc01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"tagmon.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roelsh01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roelce01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"rofr01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roicmn01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roicin01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"rolofr01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roells01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roeloc01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roelsc01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roscfr01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roelst01.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"roelst02.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"ronl.idc","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"rowim002.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"rowim001.exe","Railroad Operations","Centura 16 Access 97","Oracle 7.3","Shows movement of Rolling stock and Loco details with information concerning delays."
"recognition system.mdb","Recognition","Access 7","Access 7","The recognition system is designed to record when an employee has an inury that involves lost time (LTI). If an employee goes for a period of time (1 year 2 years etc) without having an LTI the system will notify the OHS Department."
"recsys.mdb","Recruitment","Access 7","Access 7","The aim of this system is to provide Shared Services with a means of tracking employment positions available and applications received."
"rechbi.mdb","Recruitment","Access 7","Access 7","The aim of this system is to provide Shared Services with a means of tracking employment positions available and applications received."
"newrecdb.mdb","Recruitment","Access 7","Access 7","The aim of this system is to provide Shared Services with a means of tracking employment positions available and applications received."
"maxmain.exe","Rolling Stock Maintenance","Centura 32","Oracle 8","Rolling Stock Maintenance for the Ore Car repair shop. The system tracks the component and maintenance history of the ore cars which are processed through the Ore Car Repair Shop located at Nelson Point."
"srs.mdb","Salary Review","Access 95","Oracle 7 Access 95","The purpose of this system is to coordinate and streamline the Salary Review process and production of salary letters for the organisation. The system also allows managers to view their employees' details at any time during the year."
"smosa.exe","Sales Management","Centura 32","Oracle","The Sales Management System provides sales contract maintenance ore sales accounting and debtor control facilities for Perth Office."
"smship.exe","Sales Management","Centura 32","Oracle","The Sales Management System provides sales contract maintenance ore sales accounting and debtor control facilities for Perth Office."
"smcon.exe","Sales Management","Centura 32","Oracle","The Sales Management System provides sales contract maintenance ore sales accounting and debtor control facilities for Perth Office."
"smdbt.exe","Sales Management","Centura 32","Oracle","The Sales Management System provides sales contract maintenance ore sales accounting and debtor control facilities for Perth Office."
"samplereg.exe","Sample Registration","VB 5","Oracle 7","The purpose of the Sample Registration System is to store the details of all samples taken in both the OPP and HBI Plant. When samples and their assays are entered into the Sample Registration System they become available to other MIS applications."
"supply savings database.mde","Supply Savings Database","Access 97","Access 97","Database used by BHP IO supply department to record savings."
"tenders.mdb","Tenders","Access V2","Access V2",
"tmlr.exe","Track Management","Access 97","Oracle 7.3","Systems provides information relating to Track Management."
"tmdr.exe","Track Management","Access 97","Oracle 7.3","Systems provides information relating to Track Management."
"tmer.exe","Track Management","Access 97","Oracle 7.3","Systems provides information relating to Track Management."
"tmmd.exe","Track Management","Access 97","Oracle 7.3","Systems provides information relating to Track Management."
"tmwr.exe","Track Management","Access 97","Oracle 7.3","Systems provides information relating to Track Management."
"tmwg.exe","Track Management","Access 97","Oracle 7.3","Systems provides information relating to Track Management."
"tmrp9701.mdb","Track Management","Access 97","Oracle 7.3","Systems provides information relating to Track Management."
"docreg.mdb","Transmittals","Access V2","Access V2","Works in conjunction with DocsOpen. Monitors documents used in HBI Construction as they are sent and recived by Document Control."
"viewgrades.fmx","View Grades Screen","Oracle Forms","Oracle","The view Grades screen show the grades for Ore coming out of the Benefication Plant. The grades displayed are those recorded in the Mine Quality System which samples the Ore each hour. The grades displayed are limited to the Major Elements."
"wrs9701.mdb","Weighbridge Reporting 97","Access 97","Oracle 7.3","Facilitates the reporting of information relating to Train Vehicles."
